,Query,Bitscore,E-value
0,OTU17355,-1.0,-1.0
1,OTU17250,-1.0,-1.0
2,OTU13686,-1.0,-1.0
3,OTU17699,-1.0,-1.0
4,OTU16662,-1.0,-1.0
5,OTU7734,-1.0,-1.0
6,OTU12919,-1.0,-1.0
7,OTU17065,-1.0,-1.0
8,OTU16835,52.8,6e-06
9,OTU13316,-1.0,-1.0
10,OTU2127,-1.0,-1.0
11,OTU18057,54.7,2e-06
12,OTU9823,-1.0,-1.0
13,OTU18854,-1.0,-1.0
14,OTU18517,-1.0,-1.0
15,OTU13807,52.8,6e-06
16,OTU7202,-1.0,-1.0
17,OTU14007,-1.0,-1.0
18,OTU13751,-1.0,-1.0
19,OTU4748,-1.0,-1.0
20,OTU7244,-1.0,-1.0
21,OTU6003,-1.0,-1.0
22,OTU13478,-1.0,-1.0
23,OTU16249,-1.0,-1.0
24,OTU16083,-1.0,-1.0
25,OTU9248,-1.0,-1.0
26,OTU12835,62.1,1e-08
27,OTU15044,-1.0,-1.0
28,OTU15323,-1.0,-1.0
29,OTU15453,49.1,7e-05
30,OTU15456,-1.0,-1.0
31,OTU5905,-1.0,-1.0
32,OTU15322,-1.0,-1.0
33,OTU9824,-1.0,-1.0
34,OTU9880,-1.0,-1.0
35,OTU15646,54.7,2e-06
36,OTU15534,-1.0,-1.0
37,OTU15544,-1.0,-1.0
38,OTU15548,-1.0,-1.0
39,OTU15073,-1.0,-1.0
40,OTU15112,-1.0,-1.0
41,OTU14995,-1.0,-1.0
42,OTU15014,-1.0,-1.0
43,OTU8256,-1.0,-1.0
44,OTU11025,-1.0,-1.0
45,OTU16049,-1.0,-1.0
46,OTU16058,-1.0,-1.0
47,OTU11047,-1.0,-1.0
48,OTU16369,-1.0,-1.0
49,OTU6952,-1.0,-1.0
50,OTU13499,-1.0,-1.0
51,OTU15692,-1.0,-1.0
52,OTU3845,-1.0,-1.0
53,OTU5866,-1.0,-1.0
54,OTU4820,-1.0,-1.0
55,OTU13292,54.7,1e-06
56,OTU6240,-1.0,-1.0
57,OTU14793,-1.0,-1.0
58,OTU10992,-1.0,-1.0
59,OTU14504,52.8,5e-06
60,OTU14499,-1.0,-1.0
61,OTU7368,-1.0,-1.0
62,OTU14394,-1.0,-1.0
63,OTU13026,-1.0,-1.0
64,OTU4716,-1.0,-1.0
65,OTU2619,-1.0,-1.0
66,OTU13754,-1.0,-1.0
67,OTU3952,54.7,1e-06
68,OTU13930,-1.0,-1.0
69,OTU13885,-1.0,-1.0
70,OTU14251,54.7,1e-06
71,OTU5005,-1.0,-1.0
72,OTU18590,-1.0,-1.0
73,OTU8940,-1.0,-1.0
74,OTU18841,-1.0,-1.0
75,OTU13850,-1.0,-1.0
76,OTU18263,-1.0,-1.0
77,OTU18183,-1.0,-1.0
78,OTU18248,-1.0,-1.0
79,OTU18233,52.8,5e-06
80,OTU11051,-1.0,-1.0
81,OTU6665,-1.0,-1.0
82,OTU18493,-1.0,-1.0
83,OTU12848,-1.0,-1.0
84,OTU17997,-1.0,-1.0
85,OTU12870,-1.0,-1.0
86,OTU9857,-1.0,-1.0
87,OTU18099,-1.0,-1.0
88,OTU13512,-1.0,-1.0
89,OTU18822,-1.0,-1.0
90,OTU18638,-1.0,-1.0
91,OTU3583,-1.0,-1.0
92,OTU13264,-1.0,-1.0
93,OTU10364,-1.0,-1.0
94,OTU13281,-1.0,-1.0
95,OTU4987,-1.0,-1.0
96,OTU10349,-1.0,-1.0
97,OTU13333,-1.0,-1.0
98,OTU9048,-1.0,-1.0
